address,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,label
0x002bf459dc58584d58886169ea0e80f3ca95ffaf,31377.528117092417,275000.58082693495,29926.93102392036,53032.67328739475,67623.53669593864,74999.52581193497,53032.67328739475,35355.00376126659,109337.26444384018,40765.84834555947,64295.40086193501,75614.07926197213,53032.67328739475,45079.013269435716,31377.52811709226,0
0x002f0c8119c16d310342d869ca8bf6ace34d9c39,31377.574059987284,275000.64579999994,29926.97696681522,53032.71923028959,67623.60166900365,74999.59078499996,53032.71923028959,35355.04970416144,109337.32941690518,40765.89428845433,64295.46583500001,75614.14423503718,53032.71923028959,45079.07824250072,31377.57405998712,0
0x0059b14e35dab1b4eee1e2926c7a5660da66f747,31376.36559648526,274998.9365273215,29925.768512445105,53031.51069107524,67621.89248051617,74997.8815530521,53031.51069107524,35353.8412198931,109335.6201673461,40764.68578230704,64293.756612376106,75612.43500018129,53031.51069107524,45077.369047725995,31376.365596614145,0
0x0061fb5485dff4bb85c078dca80d19119224d97e,31376.432987911692,274999.0320803949,29925.835894739586,53031.57815821397,67621.98794939893,74997.97706539497,53031.57815821397,35353.908632085826,109335.71569730017,40764.7532163787,64293.85211539501,75612.53051543252,53031.57815821397,45077.46452289572,31376.432987911492,0
0x00650a784ee109797ba8c05f3496bdbf2b2b7a1c,31377.623002383054,275000.7150149999,29927.025909211112,53032.76817268548,67623.67088400596,74999.66,53032.76817268548,35355.09864655734,109337.39863190518,40765.943230850215,64295.53505000004,75614.21345003613,53032.76817268548,45079.14745750077,31377.623002383014,0
0x0084515449b037205a33d6d3940a5684126aa4b5,31377.15595127819,275000.05450366123,29926.558858160548,53032.301121121985,67623.01037617878,74998.99948934458,53032.301121121985,35354.63159532603,109336.73812095472,40765.47617948663,64294.87453950104,75613.55293935645,53032.301121121985,45078.486947468955,31377.155951278022,0
0x00c33c49f9a2a920e3f3787204cbda9012d1912e,31378.28768868453,275001.65494578803,29927.690598219055,53033.43283568925,67624.61080667964,75000.59993875374,53033.43283568925,35355.763326401844,109338.33856722848,40766.60790398899,64296.47499057721,75615.15338978576,53033.43283568925,45080.08740352406,31378.28768863171,0
0x00eb6f5199cd0b671da371969b1a0f948e982fea,31367.417609326436,274986.2823853118,29916.82051715298,53022.56277122084,67609.23829434525,74985.22738283924,53022.56277122084,35344.89325118417,109322.96600933433,40755.73783305135,64281.10243570746,75599.78083180869,53022.56277122084,45064.71485177594,31367.417609326636,0
0x0128282ce73c72decabaeace9358344adff449fe,31376.590887413015,274999.2553579059,29925.993795193892,53031.73604970951,67622.21123865679,74998.20034724164,53031.73604970951,35354.066529383155,109335.93897727413,40764.91111136582,64294.07539823421,75612.75379717002,53031.73604970951,45077.68780869946,31376.59088741518,0
0x015c0e438b3a01511b98d928bd031d3dc50abb9e,31376.075046412592,274998.5256868422,29925.477960709086,53031.2201554668,67621.48167558316,74997.47073758025,53031.2201554668,35353.55067384022,109335.20934106692,40764.395240413,64293.34580262902,75612.0241838423,53031.2201554668,45076.95825507791,31376.075046589405,0
0x015fca1d09287823e634ae51237ee1eeff03d9d5,31377.58901388151,275000.6669479999,29926.991920709424,53032.734184183806,67623.62281700564,74999.61193299996,53032.734184183806,35355.06465805566,109337.35056490517,40765.909242348534,64295.48698300001,75614.16538303734,53032.734184183806,45079.09939050072,31377.589013881327,0
